image_id,min_depth,max_depth,mean_depth,std_depth,median_depth,depth_range
DVD3HFDYEJI4OKYQBT3WKSY8,858,3124,2145.9287416666666,598.7642290518378,2320.0,2266
DVD3MBOCEJLMIK6A573WKUY8,1338,6112,3500.5509136666665,1042.006245435682,3332.0,4774
DVD3MHYMEJI4OKYQBT3WKSY8,986,10516,2657.26713984375,708.4405831706555,2870.0,9530
DVD5FHHPEJJ4ESRZRX3WKUQ8,1338,5667,2874.8313485,678.810573534207,2890.0,4329
DVD7IYG2EJLMOK6VYL3WKVY8,1618,6856,4160.487646354167,1182.772229250827,4484.0,5238
DVDZU2DAEJI4OK6KYT3WKRA8,1056,6662,2388.691694577535,1371.417723688714,2011.0,5606
DVDZUY2JEJI4OK6KYT3WK7A8,1541,7202,2595.26557191213,1310.689886541477,1941.0,5661
DVECUD4NEJJ4ESUTWD3WKXA8,1611,3717,2426.44303325,432.32577742267745,2320.0,2106
DVECUX56EJI4OK5P2T3WKSY8,1184,4578,2770.1753179166667,727.4140958269306,2752.0,3394
DVED43AREJI4OK5P2T3WKSA8,1956,17699,4663.74709375,2876.0224314236443,4303.0,15743
DVED4Y24EJI4OK5P2T3WKSA8,2075,17607,4591.859107291667,2643.0917967235982,4323.0,15532
DVEEWC4XEJLMIK6TQP3WKTI8,1414,5210,3122.194474666667,813.8663203274049,3190.0,3796
DVEFCFAMEJI4OKZ3SH3WKSQ8,2139,6223,3733.6886724166666,935.6008598889204,3613.0,4084
DVEGIITYEJLMIK7C5H3WKUY8,1317,3977,2447.254647,780.398530788216,2348.0,2660
IQ7Q7KQUQPQD2JBK3P3WM888,939,3933,2445.482688166667,671.8179716922089,2270.0,2994
IQPB53QUQBOGA75E3P3WG888,1296,3993,3005.9498446666666,745.1076563358316,3319.0,2697
IQWDWFAUQBOGAHNK3P3XG888,534,4374,2499.3050871666665,824.6822378173837,2718.0,3840
IQXOMEAULVSAELPQ3P3XU888,1220,4714,2861.5669453125,690.6071649405931,2910.0,3494
IRM4J4IUQP7UQBYN3P3UI888,1150,4141,2233.6029051666665,641.5864965961537,2215.0,2991
IRNBA5YUQBOGA5CJ3P3WO888,464,2705,1838.7299834166668,461.3051282222299,1974.0,2241
IRNBBLIUQBOGA5CJ3P3XG888,861,2648,1638.9108118333334,422.0356449019493,1576.0,1787
IRNVQMQULVSAE4XD3P3WY888,1715,8650,3777.1448645833334,841.6494160963305,3923.0,6935
IROU2KIUQP7UQVJ53P3WE888,886,8762,3033.2424393333336,1798.151494845888,2675.0,7876
IWFMXTIUQPQHQOCL3P3X4888,918,4359,2676.5563316666667,753.1263358770403,2734.0,3441
IX47DIQUQP7UQCX53P3UI888,1034,3936,1908.91712475,821.3668783637086,1514.0,2902
IX5VN3QU2SHTG3X33P3XW888,1397,4233,3118.7170293333334,772.6116751952013,3427.0,2836
IX5VNOQU2SHTG3X33P3WE888,1150,3936,2646.7363761666666,513.1572276703388,2717.0,2786
L3D121I43NH3QUQP7UQ2UC3P3XW888,990,4400,2514.2012125,725.6915277347738,2561.0,3410
L3D121I443VPYUQPQHQOHW3P3XG888,1765,7274,3149.4017171875,1343.8355783926954,2675.0,5509
L3D121I44XFFIUQP7UQVFP3P3XE888,896,4144,2405.4445994791668,552.236501736868,2471.0,3248
L3D121I4RQTLAUPFX6URCA3P3XS888,1473,3803,2242.2203807291667,609.2116484616794,2031.0,2330
L3D121I4VBDKAUG5TL4CYQ3P3W4888,1411,4771,3062.2451739583335,705.8336796854284,3118.0,3360
L3D121I4VRNZYUG5TL4CYQ3P3WK888,881,4159,1776.4505963541667,438.72262122067286,1960.0,3278
L3D121I52OKAYUPFR243333P3X6888,468,3012,1061.1023578125,617.838785089524,794.0,2544
L3D121I52QNHIUPFRYIHMI3P3WU888,1931,6796,2942.52750625,1006.4556971443104,2584.0,4865
L3D121I52T5MQUPFR7OQFQ3P3WQ888,1708,8037,2965.743199479167,1505.6927432804996,2261.0,6329
L3D121I52UQVYUPFR7OQFQ3P3XW888,930,5506,2157.6627395833334,1089.0495580633196,1746.0,4576
L3D121I52URKAUPFR7OQFQ3P3WU888,1610,4730,2709.165054166667,815.9062773566815,2757.0,3120
L3D121I52WKTIUPFR7OQFQ3P3WE888,1745,4533,2856.984509375,797.0755214536861,2823.0,2788
L3D121I52WKUIUPFR7OQFQ3P3W4888,1107,5714,2346.3931130208334,1137.007246772735,1858.0,4607
L3D121I52XFYYUPFR7OQFQ3P3WK888,1230,3654,2668.920375,680.3243176729395,2913.0,2424
L3D121I532ONAUPFRYIHMI3P3W6888,2134,5252,3374.9773083333334,625.9415973028525,3575.0,3118
L3D121I533WTAUPFR243333P3WG888,1045,4286,2565.410315625,746.6866094289243,2463.0,3241
L3D121I533Z2AUPFR7OQFQ3P3XE888,1279,4662,2830.7708666666667,717.3085564905679,2956.0,3383
L3D121I535SKIUPFX6U7FQ3P3WI888,1419,5276,2985.3813416666667,880.636679172253,2825.0,3857
L3D121I53CCLAUPFR7OQFQ3P3WS888,1935,7913,3094.5658796875,1281.9280916810885,2682.0,5978
L3D121I53U47QUPFR243333P3WA888,1362,3795,2655.7414005208334,406.3931506747771,2715.0,2433
L3D121I54QEKAUPFR243333P3XU888,825,4787,2636.9712177083334,928.4357604206281,2705.0,3962
L3D121I54QERQUPFR243333P3XA888,1081,8176,2527.3321119791667,766.7302896540527,2520.0,7095
L3D121I54TZAQUPFX6U7FQ3P3XU888,1066,3783,2573.674188541667,403.68049597709114,2530.0,2717
L3D121I54VRXQUPFRYIHMI3P3WM888,1766,4088,2436.2987078125,211.24870679879584,2409.0,2322
L3D121I54VTKIUPFRYIHMI3P3XE888,1766,4088,2436.2987078125,211.24870679879584,2409.0,2322
L3D121I54WH4AUPFRYIHMI3P3XA888,1515,13581,3262.7193338541665,1739.1445929306008,2644.0,12066
L3D121I54WLSIUPFRYIHMI3P3XW888,2254,4942,3337.230159375,400.791454163919,3317.0,2688
